timestamp_s,s1_dbm,s2_dbm,dir,probe_V,step_V,offset_V
0.921,-39.710,-72.248,→,0.1000,0.02362,2.42362
1.794,-39.507,-80.545,←,0.1000,0.01533,2.40830
2.669,-39.497,-83.120,←,0.1000,0.01275,2.39555
3.543,-39.418,-85.368,←,0.1000,0.01050,2.38504
4.418,-39.407,-81.926,←,0.1000,0.01395,2.37110
5.494,-39.431,-88.102,←,0.1000,0.00777,2.36333
6.389,-39.433,-83.376,←,0.1000,0.01250,2.35083
7.263,-39.405,-91.494,←,0.0876,0.00438,2.34645
8.137,-39.391,-90.173,←,0.1000,0.00570,2.34076
9.010,-39.387,-92.764,←,0.0622,0.00311,2.33765
9.884,-39.407,-87.507,←,0.1000,0.00836,2.32928
10.765,-39.385,-87.944,←,0.1000,0.00793,2.32136
11.643,-39.400,-85.899,←,0.1000,0.00997,2.31138
12.503,-39.399,-87.693,←,0.1000,0.00818,2.30321
13.389,-39.441,-90.412,←,0.1000,0.00546,2.29775
14.263,-39.427,-106.193,←,0.0200,0.00000,2.29775
15.132,-39.421,-96.954,←,0.0200,0.00000,2.29775
16.007,-39.375,-93.777,←,0.0419,0.00209,2.29565
16.881,-39.391,-90.983,←,0.0978,0.00489,2.29077
17.760,-39.425,-102.120,←,0.0200,0.00000,2.29077
18.630,-39.428,-93.416,←,0.0491,0.00245,2.28831
19.511,-39.443,-96.737,←,0.0200,0.00000,2.28831
20.388,-39.428,-99.379,→,0.0200,0.00000,2.28831
21.256,-39.421,-90.375,←,0.1000,0.00550,2.28281
22.135,-39.387,-92.625,←,0.0649,0.00325,2.27957
23.007,-39.436,-96.094,→,0.0200,0.00000,2.27957
23.891,-39.411,-94.206,←,0.0333,0.00000,2.27957
24.762,-39.396,-92.668,←,0.0641,0.00320,2.27636
25.638,-39.399,-90.196,→,0.1000,0.00568,2.28204
26.509,-39.386,-92.140,←,0.0746,0.00373,2.27831
27.381,-39.431,-101.584,←,0.0200,0.00000,2.27831
28.259,-39.431,-90.318,←,0.1000,0.00555,2.27276
29.132,-39.437,-98.272,←,0.0200,0.00000,2.27276
30.010,-39.406,-93.148,←,0.0545,0.00272,2.27003
30.889,-39.406,-93.016,→,0.0571,0.00285,2.27289
31.767,-39.424,-95.200,←,0.0200,0.00000,2.27289
32.638,-39.389,-94.888,←,0.0200,0.00000,2.27289
33.510,-39.388,-98.193,←,0.0200,0.00000,2.27289
34.390,-39.364,-93.479,←,0.0478,0.00239,2.27050
35.252,-39.371,-99.284,←,0.0200,0.00000,2.27050
36.142,-39.417,-95.554,←,0.0200,0.00000,2.27050
37.014,-39.367,-93.281,→,0.0518,0.00259,2.27309
37.889,-39.383,-93.739,←,0.0426,0.00213,2.27095
38.754,-39.377,-92.997,←,0.0575,0.00287,2.26808
39.649,-39.420,-93.746,←,0.0425,0.00213,2.26595
40.510,-39.393,-92.502,←,0.0674,0.00337,2.26258
41.385,-39.386,-95.226,→,0.0200,0.00000,2.26258
42.259,-39.423,-89.336,→,0.1000,0.00654,2.26912
43.128,-39.435,-94.028,←,0.0369,0.00000,2.26912
44.015,-39.431,-93.948,←,0.0385,0.00000,2.26912
44.880,-39.397,-93.401,→,0.0494,0.00247,2.27159
45.766,-39.387,-94.315,→,0.0311,0.00000,2.27159
46.640,-39.409,-101.015,←,0.0200,0.00000,2.27159
47.505,-39.419,-93.287,←,0.0517,0.00258,2.26901
48.384,-39.426,-89.603,→,0.1000,0.00627,2.27527
49.263,-39.442,-96.900,→,0.0200,0.00000,2.27527
50.249,-39.437,-92.933,→,0.0588,0.00294,2.27821
51.229,-39.442,-92.028,←,0.0769,0.00384,2.27437
52.106,-39.406,-97.580,←,0.0200,0.00000,2.27437
52.977,-39.410,-94.167,→,0.0341,0.00000,2.27437
53.957,-39.429,-95.835,→,0.0200,0.00000,2.27437
54.948,-39.399,-92.102,→,0.0754,0.00377,2.27814
55.823,-39.383,-93.511,←,0.0472,0.00236,2.27578
56.695,-39.427,-93.931,→,0.0388,0.00000,2.27578
57.566,-39.425,-98.422,←,0.0200,0.00000,2.27578
58.559,-39.418,-96.102,→,0.0200,0.00000,2.27578
59.650,-39.417,-96.858,→,0.0200,0.00000,2.27578
60.524,-39.374,-94.967,→,0.0200,0.00000,2.27578
61.665,-39.380,-90.737,→,0.1000,0.00513,2.28091
62.712,-39.397,-91.969,→,0.0780,0.00390,2.28481
63.596,-39.390,-91.840,←,0.0806,0.00403,2.28078
64.599,-39.408,-93.656,←,0.0443,0.00222,2.27857
65.450,-39.433,-95.063,←,0.0200,0.00000,2.27857
66.318,-39.430,-112.254,←,0.0200,0.00000,2.27857
67.198,-39.407,-97.296,←,0.0200,0.00000,2.27857
68.069,-39.401,-100.479,→,0.0200,0.00000,2.27857
68.951,-39.400,-95.534,←,0.0200,0.00000,2.27857
69.821,-39.430,-104.728,←,0.0200,0.00000,2.27857
70.699,-39.437,-88.596,→,0.1000,0.00728,2.28584
71.570,-39.421,-91.463,←,0.0882,0.00441,2.28143
72.446,-39.392,-89.729,→,0.1000,0.00614,2.28758
73.324,-39.387,-90.208,←,0.1000,0.00566,2.28191
74.200,-39.383,-94.188,←,0.0337,0.00000,2.28191
75.077,-39.442,-101.507,←,0.0200,0.00000,2.28191
75.943,-39.413,-92.726,←,0.0629,0.00314,2.27877
76.829,-39.386,-94.848,←,0.0205,0.00000,2.27877
77.696,-39.388,-96.568,←,0.0200,0.00000,2.27877
78.568,-39.427,-107.519,←,0.0200,0.00000,2.27877
79.452,-39.418,-95.497,←,0.0200,0.00000,2.27877
80.028,-39.413,-90.816,←,0.1000,0.00506,2.27371
80.901,-39.419,-98.901,←,0.0200,0.00000,2.27371
81.775,-39.428,-98.888,←,0.0200,0.00000,2.27371
