offset_V,s1_dbm,s2_dbm
-6,-36.1272,-82.2675
-5.9,-36.0679,-85.7476
-5.8,-36.0842,-88.2742
-5.7,-36.0811,-90.0201
-5.6,-36.1243,-84.5721
-5.5,-36.1838,-81.333
-5.4,-36.2917,-75.7681
-5.3,-36.4423,-73.4719
-5.2,-36.6245,-72.6839
-5.1,-36.7903,-70.9385
-5,-36.9961,-69.1538
-4.9,-37.2072,-68.6886
-4.8,-37.4907,-67.5009
-4.7,-37.7947,-67.364
-4.6,-38.1872,-65.924
-4.5,-38.5794,-65.9448
-4.4,-39.0822,-65.2074
-4.3,-39.6175,-64.5311
-4.2,-40.152,-63.8272
-4.1,-40.7901,-63.5073
-4,-41.5293,-63.4178
-3.9,-42.3787,-62.7798
-3.8,-43.3513,-62.8276
-3.7,-44.4559,-62.515
-3.6,-45.7457,-62.3927
-3.5,-47.3318,-62.0837
-3.4,-49.2317,-61.9631
-3.3,-51.7789,-62.059
-3.2,-55.3846,-61.9617
-3.1,-61.7569,-61.947
-3,-82.9067,-61.7139
-2.9,-60.1647,-62.1061
-2.8,-54.5913,-61.8729
-2.7,-51.2542,-62.0759
-2.6,-48.8222,-62.1915
-2.5,-46.9731,-62.1365
-2.4,-45.4243,-62.5189
-2.3,-44.1392,-62.5622
-2.2,-43.0835,-62.9299
-2.1,-42.1423,-62.8356
-2,-41.3646,-63.1262
-1.9,-40.6502,-64.0792
-1.8,-39.9585,-64.1863
-1.7,-39.3996,-64.9613
-1.6,-38.8991,-65.2094
-1.5,-38.4253,-65.8542
-1.4,-38.021,-66.7376
-1.3,-37.6663,-67.4724
-1.2,-37.352,-68.7516
-1.1,-37.0718,-69.4278
-1,-36.8554,-69.9689
-0.9,-36.6692,-72.4458
-0.8,-36.5139,-73.4326
-0.7,-36.3739,-75.8837
-0.6,-36.2762,-79.6598
-0.5,-36.1908,-80.8752
-0.4,-36.1326,-91.5666
-0.3,-36.0918,-89.1505
-0.2,-36.1289,-82.7268
-0.1,-36.1454,-78.4197
0,-36.2417,-75.1263
0.1,-36.2933,-74.7772
0.2,-36.4417,-71.718
0.3,-36.6612,-70.6307
0.4,-36.8352,-69.1667
0.5,-37.0858,-68.4282
0.6,-37.3675,-67.429
0.7,-37.6408,-66.9912
0.8,-38.0018,-65.8381
0.9,-38.3983,-65.2257
1,-38.908,-64.5614
1.1,-39.415,-64.5127
1.2,-39.9643,-63.8846
1.3,-40.6516,-63.9704
1.4,-41.3547,-63.3845
1.5,-42.1841,-63.1814
1.6,-43.1187,-62.8523
1.7,-44.2503,-62.7421
1.8,-45.5297,-62.2939
1.9,-47.0762,-62.3878
2,-49.0221,-62.174
2.1,-51.6143,-62.0984
2.2,-55.3194,-61.9508
2.3,-61.9386,-61.738
2.4,-78.7309,-61.885
2.5,-59.6933,-61.954
2.6,-54.3333,-61.9398
2.7,-50.9242,-61.9592
2.8,-48.5686,-62.4208
2.9,-46.6875,-62.3622
3,-45.1948,-62.56
3.1,-43.9106,-62.7822
3.2,-42.8761,-63.0432
3.3,-41.9643,-62.973
3.4,-41.1471,-63.3572
3.5,-40.4323,-63.8677
3.6,-39.8155,-64.159
3.7,-39.2467,-64.2797
3.8,-38.7528,-65.2338
3.9,-38.3072,-65.5331
4,-37.9027,-66.093
4.1,-37.5397,-66.5517
4.2,-37.2731,-67.4245
4.3,-36.9736,-68.5141
4.4,-36.772,-69.8216
4.5,-36.5867,-71.3985
4.6,-36.4267,-73.0412
4.7,-36.2926,-74.0118
4.8,-36.2194,-77.5242
4.9,-36.1475,-79.36
5,-36.1262,-87.5034
5.1,-36.1102,-93.6728
5.2,-36.1237,-88.7465
5.3,-36.1935,-80.5971
5.4,-36.2893,-77.5236
5.5,-36.4214,-73.5358
5.6,-36.5619,-72.4248
5.7,-36.7205,-70.7527
5.8,-36.9573,-69.6403
5.9,-37.2255,-68.3799
6,-37.5217,-68.0238
