actual_offset_V,s1_dbm,s2_dbm
-4.65,-45.8131,-70.5438
-4.55,-46.1147,-69.9695
-4.45,-46.6622,-69.0513
-4.35,-47.2442,-69.8821
-4.25,-47.9931,-69.3713
-4.15,-48.799,-69.0554
-4.05,-49.7797,-68.0111
-3.95,-50.909,-68.3802
-3.85,-52.205,-68.0784
-3.75,-53.8536,-67.5355
-3.65,-55.7779,-68.6298
-3.55,-58.5109,-68.051
-3.45,-62.3011,-67.9863
-3.35,-69.8827,-68.1641
-3.25,-78.5692,-67.6196
-3.15,-64.9863,-67.2368
-3.05,-59.968,-68.437
-2.95,-56.9203,-68.3365
-2.85,-54.5865,-68.2954
-2.75,-52.7696,-68.7736
-2.65,-51.279,-67.7407
-2.55,-50.02,-67.879
-2.45,-48.9202,-68.7809
-2.35,-47.9936,-68.1619
-2.25,-47.1839,-68.5964
-2.15,-46.4599,-69.3246
-2.05,-45.8353,-70.8532
-1.95,-45.2883,-69.7825
-1.85,-44.7788,-70.6521
-1.75,-44.3211,-72.2813
-1.65,-43.911,-71.7889
-1.55,-43.5489,-72.5378
-1.45,-43.2459,-73.5409
-1.35,-42.9724,-73.6387
-1.25,-42.718,-73.9849
-1.15,-42.5153,-78.0284
-1.05,-42.3282,-76.7649
-0.95,-42.1788,-80.3483
-0.85,-42.0754,-85.3738
-0.75,-41.9827,-87.2958
-0.65,-41.9419,-85.1501
-0.55,-41.9291,-87.3667
-0.45,-41.927,-93.031
-0.35,-41.9852,-85.0125
-0.25,-42.0716,-86.4233
-0.15,-42.1639,-82.7924
-0.05,-42.2966,-79.6262
0.05,-42.4568,-78.9468
0.15,-42.6256,-76.0089
0.25,-42.8737,-73.5344
0.35,-43.1261,-74.9794
0.45,-43.4154,-73.9641
0.55,-43.78,-73.6806
0.65,-44.1578,-71.7197
0.75,-44.586,-70.7833
0.85,-45.1259,-69.9173
0.95,-45.6577,-69.5961
1.05,-46.3065,-70.3411
1.15,-46.9942,-69.8168
1.25,-47.7785,-68.7285
1.35,-48.7101,-68.3194
1.45,-49.7585,-67.7943
1.55,-51.0045,-68.7809
1.65,-52.5712,-67.4729
1.75,-54.4243,-67.4607
1.85,-56.846,-67.2979
1.95,-60.1311,-67.8966
2.05,-66.2914,-67.1316
2.15,-92.7959,-67.356
2.25,-66.7867,-68.1208
2.35,-60.6545,-67.7746
2.45,-57.0233,-68.2482
2.55,-54.5632,-67.2091
2.65,-52.6638,-67.3027
2.75,-51.1421,-68.4274
2.85,-49.8353,-68.2768
2.95,-48.7507,-68.6063
3.05,-47.8056,-68.1619
3.15,-47.0118,-69.334
3.25,-46.3386,-69.7523
3.35,-45.6693,-70.6516
3.45,-45.1475,-69.7928
3.55,-44.6385,-70.3634
3.65,-44.1802,-72.6091
3.75,-43.7651,-71.3349
3.85,-43.3947,-73.0811
3.95,-43.1242,-74.3942
4.05,-42.8476,-75.4073
4.15,-42.6019,-74.9947
4.25,-42.3984,-79.0874
4.35,-42.2402,-78.3523
4.45,-42.1263,-81.856
4.55,-42.0437,-80.555
4.65,-41.9849,-90.5319
4.75,-41.9449,-88.2829
4.85,-41.9618,-91.1897
4.95,-41.9848,-92.4272
5.05,-42.0514,-80.8769
5.15,-42.1218,-81.4363
5.25,-42.2496,-80.2947
5.35,-42.42,-76.2672
5.45,-42.574,-75.7875
5.55,-42.8015,-75.9062
5.65,-43.0883,-73.9819
5.75,-43.397,-72.305
5.85,-43.7765,-71.1653
5.95,-44.1631,-72.6515
6.05,-44.619,-71.1942
6.15,-45.1263,-70.287
6.25,-45.6997,-70.0361
6.35,-46.3392,-70.1076
6.45,-47.0779,-70.481
6.55,-47.9167,-69.7134
6.65,-48.8657,-68.5394
6.75,-49.9909,-67.8727
6.85,-51.2907,-68.8405
6.95,-52.9153,-68.3393
7.05,-54.904,-68.3534
7.15,-57.3376,-68.2771
7.25,-61.0786,-68.2585
7.35,-67.8461,-67.863
