timestamp_s,s1_dbm,s2_dbm,r,error,offset_V
0.723,-50.735,-67.843,7.16842,-6.67138,1.16671
1.300,-48.520,-69.579,11.29705,-2.54275,1.19214
1.868,-48.665,-69.560,11.08531,-2.75450,1.21969
2.482,-48.893,-68.195,9.22727,-4.61254,1.26581
3.102,-49.319,-68.838,9.46085,-4.37895,1.30960
3.506,-49.717,-68.336,8.52981,-5.30999,1.36270
4.129,-50.322,-69.516,9.11383,-4.72598,1.40996
4.742,-50.874,-68.330,7.46063,-6.37918,1.47375
5.253,-51.737,-67.589,6.20333,-7.63648,1.55012
5.681,-52.944,-67.846,5.56028,-8.27953,1.63291
6.108,-54.448,-68.004,4.76233,-9.07747,1.72369
6.551,-56.590,-67.323,3.44086,-10.39894,1.82768
6.988,-59.960,-67.977,2.51671,-11.32309,1.94091
7.424,-66.234,-67.599,1.17014,-12.66967,2.06760
8.055,-80.454,-68.544,0.25383,-13.58598,2.20346
8.520,-62.740,-68.208,1.87657,-11.96324,2.32310
9.065,-57.817,-67.284,2.97416,-10.86565,2.43175
9.613,-54.995,-67.258,4.10357,-9.73624,2.52912
10.047,-53.054,-68.286,5.77602,-8.06379,2.60975
10.681,-51.747,-68.696,7.03763,-6.80217,2.67778
11.147,-50.810,-67.658,6.95658,-6.88323,2.74661
11.583,-49.942,-68.775,8.74338,-5.09642,2.79757
12.013,-49.374,-69.212,9.81488,-4.02493,2.83782
12.565,-48.966,-68.912,9.93844,-3.90137,2.87683
13.140,-48.563,-69.729,11.43652,-2.40329,2.90087
13.742,-48.323,-68.259,9.92601,-3.91379,2.94001
14.371,-47.980,-69.282,11.61739,-2.22242,2.96223
14.777,-47.814,-68.545,10.87816,-2.96164,2.99185
15.303,-47.542,-69.178,12.07215,-1.76766,3.00952
15.733,-47.402,-68.922,11.91273,-1.92707,3.02879
16.177,-47.242,-69.822,13.45958,-0.38023,3.03260
16.821,-47.217,-69.565,13.10346,-0.73634,3.03996
17.520,-47.159,-68.741,11.99749,-1.84231,3.05838
17.927,-46.977,-68.417,11.80320,-2.03660,3.07875
18.646,-46.831,-69.682,13.88545,0.04565,3.07829
19.284,-46.868,-70.213,14.69765,0.85784,3.06971
19.687,-46.914,-69.233,13.06048,-0.77933,3.07751
20.118,-46.855,-69.826,14.07765,0.23785,3.07513
20.710,-46.854,-70.195,14.69026,0.85046,3.06662
21.230,-46.906,-68.931,12.62555,-1.21425,3.07877
21.831,-46.791,-70.563,15.43790,1.59809,3.06279
22.457,-46.889,-69.244,13.11401,-0.72579,3.07004
23.072,-46.823,-69.896,14.24438,0.40458,3.06600
23.685,-46.883,-70.004,14.32358,0.48377,3.06116
24.163,-46.907,-68.975,12.68760,-1.15220,3.07268
24.593,-46.815,-69.212,13.17757,-0.66224,3.07930
25.033,-46.767,-69.730,14.06545,0.22564,3.07705
25.587,-46.789,-68.782,12.57984,-1.25996,3.08965
26.021,-46.680,-70.014,14.67953,0.83973,3.08125
26.566,-46.730,-68.904,12.84334,-0.99646,3.09121
26.999,-46.677,-70.646,15.79245,1.95264,3.07169
27.432,-46.800,-68.871,12.69227,-1.14753,3.08316
28.092,-46.724,-69.502,13.76765,-0.07216,3.08389
28.697,-46.722,-70.217,14.95380,1.11399,3.07275
29.107,-46.768,-69.809,14.19178,0.35197,3.06923
29.520,-46.837,-69.882,14.19828,0.35847,3.06564
29.957,-46.853,-69.042,12.86677,-0.97303,3.07537
30.540,-46.779,-69.989,14.47195,0.63214,3.06905
31.052,-46.799,-69.563,13.74616,-0.09365,3.06999
31.492,-46.803,-69.423,13.52063,-0.31918,3.07318
31.929,-46.762,-69.112,13.10643,-0.73338,3.08051
32.363,-46.704,-70.807,16.03954,2.19973,3.05851
32.807,-46.857,-70.140,14.59293,0.75313,3.05098
33.236,-46.920,-69.263,13.09683,-0.74298,3.05841
33.823,-46.832,-70.253,14.82723,0.98742,3.04854
34.434,-46.925,-70.498,15.08958,1.24977,3.03604
35.042,-46.997,-70.089,14.27604,0.43623,3.03168
35.439,-47.030,-70.282,14.54042,0.70061,3.02467
36.257,-47.100,-68.483,11.72553,-2.11427,3.04582
36.784,-46.943,-69.208,12.97891,-0.86089,3.05442
37.195,-46.887,-69.462,13.45133,-0.38848,3.05831
37.617,-46.858,-69.247,13.16624,-0.67356,3.06504
38.044,-46.812,-70.511,15.30940,1.46959,3.05035
38.488,-46.923,-69.359,13.23766,-0.60214,3.05637
39.036,-46.881,-69.132,12.95864,-0.88117,3.06518
39.468,-46.806,-68.627,12.33133,-1.50848,3.08027
39.909,-46.704,-70.652,15.75373,1.91392,3.06113
40.347,-46.802,-69.155,13.11132,-0.72849,3.06841
40.988,-46.758,-70.746,15.82713,1.98732,3.04854
41.549,-46.873,-68.866,12.57949,-1.26031,3.06114
41.991,-46.786,-69.853,14.23481,0.39501,3.05719
42.427,-46.820,-69.807,14.10483,0.26503,3.05454
42.862,-46.828,-70.132,14.62861,0.78881,3.04665
43.304,-46.877,-68.843,12.53951,-1.30029,3.05966
43.738,-46.816,-68.934,12.76161,-1.07820,3.07044
44.176,-46.745,-68.553,12.31385,-1.52596,3.08570
44.614,-46.609,-69.586,14.08883,0.24902,3.08321
45.288,-46.659,-70.206,15.04467,1.20486,3.07116
45.703,-46.731,-70.767,15.91571,2.07591,3.05040
46.151,-46.859,-68.805,12.51172,-1.32809,3.06368
46.574,-46.774,-69.532,13.73783,-0.10197,3.06470
47.022,-46.747,-68.773,12.62760,-1.21221,3.07682
47.565,-46.668,-70.148,14.92845,1.08865,3.06594
48.002,-46.759,-68.572,12.32208,-1.51773,3.08111
48.562,-46.627,-70.607,15.81317,1.97336,3.06138
48.988,-46.754,-70.112,14.72053,0.88072,3.05257
49.423,-46.834,-70.327,14.95071,1.11090,3.04146
50.082,-46.896,-68.408,11.90174,-1.93807,3.06084
50.715,-46.747,-69.138,13.16913,-0.67068,3.06755
51.176,-46.675,-69.486,13.82112,-0.01869,3.06774
51.612,-46.693,-69.771,14.25296,0.41315,3.06361
52.052,-46.713,-69.830,14.31596,0.47615,3.05885
52.489,-46.739,-68.775,12.64187,-1.19793,3.07082
52.918,-46.661,-69.654,14.11287,0.27306,3.06809
53.359,-46.661,-68.813,12.81205,-1.02775,3.07837
