offset_V,s1_dbm,s2_dbm
-6,-39.618,-88.5745
-5.9,-39.6703,-82.5063
-5.8,-39.7209,-85.2618
-5.7,-39.8012,-78.7483
-5.6,-39.9159,-77.4669
-5.5,-40.082,-76.6015
-5.4,-40.2267,-75.631
-5.3,-40.4422,-72.5236
-5.2,-40.674,-72.9504
-5.1,-40.9436,-71.497
-5,-41.2209,-71.119
-4.9,-41.5857,-69.597
-4.8,-41.9763,-69.4147
-4.7,-42.3998,-68.6378
-4.6,-42.8908,-67.8905
-4.5,-43.4483,-67.9065
-4.4,-44.0725,-66.5296
-4.3,-44.7564,-66.855
-4.2,-45.5681,-66.8822
-4.1,-46.4678,-65.9244
-4,-47.4992,-66.1832
-3.9,-48.7117,-66.0001
-3.8,-50.1675,-66.0995
-3.7,-51.8919,-65.3505
-3.6,-54.1551,-65.6499
-3.5,-57.3253,-65.6375
-3.4,-62.1641,-65.5423
-3.3,-74.6547,-65.5162
-3.2,-67.6067,-64.9137
-3.1,-59.7916,-65.6166
-3,-55.8628,-65.7959
-2.9,-53.1553,-65.9068
-2.8,-51.0933,-66.0528
-2.7,-49.4743,-65.51
-2.6,-48.0883,-65.6796
-2.5,-46.9658,-65.8289
-2.4,-45.9893,-66.7942
-2.3,-45.146,-66.8726
-2.2,-44.3848,-66.7377
-2.1,-43.7107,-67.8775
-2,-43.0988,-67.8276
-1.9,-42.5862,-67.8693
-1.8,-42.1076,-68.3702
-1.7,-41.6797,-70.2502
-1.6,-41.3205,-70.3017
-1.5,-40.9956,-71.6548
-1.4,-40.6981,-71.498
-1.3,-40.4469,-73.6378
-1.2,-40.2156,-74.2686
-1.1,-40.0463,-75.6599
-1,-39.8963,-77.6745
-0.9,-39.776,-78.5077
-0.8,-39.6996,-85.2425
-0.7,-39.6521,-85.5402
-0.6,-39.6137,-88.8356
-0.5,-39.6235,-96.7844
-0.4,-39.6664,-83.719
-0.3,-39.7063,-82.0687
-0.2,-39.8067,-77.048
-0.1,-39.9289,-77.2196
0,-40.0867,-73.6998
0.1,-40.2661,-73.7747
0.2,-40.5087,-72.8511
0.3,-40.7633,-71.0465
0.4,-41.071,-70.3183
0.5,-41.4154,-70.3533
0.6,-41.8185,-68.9108
0.7,-42.2419,-68.4098
0.8,-42.7474,-67.8611
0.9,-43.3333,-67.4991
1,-43.9548,-67.1146
1.1,-44.6741,-67.7451
1.2,-45.4986,-66.4
1.3,-46.4011,-66.7428
1.4,-47.5257,-66.2818
1.5,-48.7332,-66.4995
1.6,-50.274,-65.4981
1.7,-52.0898,-65.2044
1.8,-54.5957,-65.2658
1.9,-57.9469,-65.842
2,-63.6978,-65.7933
2.1,-88.412,-65.7435
2.2,-64.5544,-65.6699
2.3,-58.4727,-65.869
2.4,-54.8037,-65.6911
2.5,-52.3203,-65.167
2.6,-50.4109,-65.1917
2.7,-48.8414,-65.6848
2.8,-47.5965,-66.4607
2.9,-46.4774,-66.5721
3,-45.5656,-66.83
3.1,-44.736,-67.5215
3.2,-44.0077,-67.5501
3.3,-43.3638,-68.2716
3.4,-42.7888,-67.7284
3.5,-42.286,-68.2415
3.6,-41.8311,-69.8833
3.7,-41.4404,-69.8632
3.8,-41.0773,-69.7989
3.9,-40.7678,-71.3669
4,-40.4948,-73.1015
4.1,-40.2599,-72.5933
4.2,-40.0821,-75.4557
4.3,-39.9199,-75.6824
4.4,-39.7894,-76.4146
4.5,-39.6977,-79.9936
4.6,-39.6461,-84.7328
4.7,-39.6179,-87.3528
4.8,-39.6096,-94.3608
4.9,-39.6397,-83.7906
5,-39.7003,-80.4744
5.1,-39.7922,-80.5557
5.2,-39.9112,-78.881
5.3,-40.0758,-75.4095
5.4,-40.2606,-76.0533
5.5,-40.4921,-72.4661
5.6,-40.7808,-72.0573
5.7,-41.0829,-71.354
5.8,-41.4303,-69.7256
5.9,-41.8626,-68.5559
6,-42.2967,-68.3782
