actual_offset_V,s1_dbm,s2_dbm
-3.3,-42.2272,-83.5327
-3.2,-42.2424,-85.0718
-3.1,-42.2973,-78.0074
-3,-42.3514,-80.4831
-2.9,-42.4373,-76.2097
-2.8,-42.5702,-76.2389
-2.7,-42.6953,-73.413
-2.6,-42.8891,-72.4279
-2.5,-43.091,-72.1313
-2.4,-43.3326,-71.7461
-2.3,-43.643,-70.7986
-2.2,-43.9456,-69.3158
-2.1,-44.2793,-69.4701
-2,-44.711,-68.3206
-1.9,-45.1459,-67.8682
-1.8,-45.6591,-68.0919
-1.7,-46.196,-67.5887
-1.6,-46.833,-67.6378
-1.5,-47.5295,-66.5141
-1.4,-48.3376,-66.4417
-1.3,-49.2373,-66.2994
-1.2,-50.2653,-66.6326
-1.1,-51.4374,-66.2414
-1,-52.7205,-65.9808
-0.9,-54.279,-66.1754
-0.8,-55.884,-65.5924
-0.7,-57.5471,-65.5751
-0.6,-58.7454,-65.4419
-0.5,-58.944,-65.7294
-0.4,-57.9185,-65.6161
-0.3,-56.2195,-65.5945
-0.2,-54.5787,-65.9054
-0.1,-53.0053,-65.873
0,-51.6494,-66.3147
0.1,-50.4754,-66.7861
0.2,-49.4067,-66.656
0.3,-48.4404,-66.8594
0.4,-47.7043,-67.8672
0.5,-46.8965,-68.2952
0.6,-46.2755,-67.9411
0.7,-45.6723,-68.5198
0.8,-45.1748,-69.105
0.9,-44.7188,-69.1818
1,-44.2927,-70.8483
1.1,-43.921,-70.8795
1.2,-43.5856,-72.3233
1.3,-43.2922,-72.746
1.4,-43.0378,-74.2685
1.5,-42.8357,-76.4606
1.6,-42.6581,-79.2407
1.7,-42.5196,-81.763
1.8,-42.3961,-87.7286
1.9,-42.2953,-84.3746
2,-42.2247,-89.1983
2.1,-42.192,-92.3121
2.2,-42.1876,-85.7847
2.3,-42.2213,-87.0158
2.4,-42.2968,-79.6115
2.5,-42.3607,-76.8601
2.6,-42.481,-76.7995
2.7,-42.6455,-75.7014
2.8,-42.8157,-72.0241
2.9,-43.033,-71.7775
3,-43.3056,-71.8786
3.1,-43.6026,-69.7837
3.2,-43.9567,-69.8765
3.3,-44.3345,-68.6667
3.4,-44.7494,-68.3708
3.5,-45.2455,-68.6206
3.6,-45.7646,-67.3967
3.7,-46.3827,-67.4594
3.8,-47.0597,-66.886
3.9,-47.8422,-67.094
4,-48.6914,-66.5804
4.1,-49.6536,-66.7738
4.2,-50.7708,-66.4791
4.3,-52.0331,-65.5763
4.4,-53.4461,-65.9573
4.5,-55.0225,-65.756
4.6,-56.8078,-65.6748
4.7,-58.3633,-65.9759
4.8,-58.9597,-66.0987
4.9,-58.2649,-65.613
5,-56.8102,-66.2682
5.1,-55.0349,-66.1662
5.2,-53.4483,-65.9679
5.3,-52.0016,-66.4882
5.4,-50.731,-66.4193
5.5,-49.6307,-66.6378
5.6,-48.6592,-67.3929
5.7,-47.8133,-67.8079
5.8,-47.0618,-68.1937
5.9,-46.3668,-67.7303
6,-45.7732,-69.09
6.1,-45.2133,-68.6581
6.2,-44.7293,-68.9348
6.3,-44.3077,-70.1322
6.4,-43.9266,-71.4076
6.5,-43.5992,-71.4812
6.6,-43.3067,-72.6537
6.7,-43.0695,-74.3028
6.8,-42.8352,-76.0015
6.9,-42.6685,-77.6627
7,-42.6682,-77.807
7.1,-42.6584,-79.8513
7.2,-42.6567,-78.1257
7.3,-42.6499,-80.2332
7.4,-42.642,-80.488
7.5,-42.6384,-78.3518
7.6,-42.6263,-80.1291
7.7,-42.6258,-80.9023
7.8,-42.6361,-80.7912
7.9,-42.6219,-79.0768
8,-42.624,-78.1655
8.1,-42.6121,-77.9936
8.2,-42.6106,-79.6288
8.3,-42.6116,-79.0677
8.4,-42.6142,-79.455
8.5,-42.6012,-81.0502
8.6,-42.6015,-78.3302
8.7,-42.5926,-81.8525
