timestamp_s,s1_dbm,s2_dbm,dir,probe_V,step_V,offset_V
0.983,-43.655,-73.075,→,0.1000,0.04523,4.64523
2.089,-57.411,-66.005,←,0.0264,0.00397,4.64127
3.184,-57.351,-65.754,←,0.0277,0.00415,4.63712
4.055,-57.487,-65.966,←,0.0249,0.00374,4.63338
5.038,-57.458,-65.336,←,0.0255,0.00383,4.62956
6.019,-57.508,-65.984,←,0.0245,0.00368,4.62588
6.998,-57.600,-65.365,←,0.0227,0.00340,4.62248
8.192,-57.738,-66.087,←,0.0200,0.00299,4.61949
9.081,-57.663,-66.066,←,0.0214,0.00321,4.61628
9.949,-57.687,-65.964,←,0.0209,0.00314,4.61314
11.054,-57.728,-66.088,←,0.0201,0.00302,4.61013
12.074,-57.757,-65.382,←,0.0200,0.00293,4.60720
13.080,-57.777,-65.439,←,0.0200,0.00287,4.60433
13.998,-57.823,-65.573,←,0.0200,0.00273,4.60160
14.989,-57.956,-65.806,←,0.0200,0.00233,4.59926
16.085,-57.902,-66.132,←,0.0200,0.00250,4.59677
17.066,-57.900,-65.809,←,0.0200,0.00250,4.59427
18.054,-57.929,-65.596,←,0.0200,0.00241,4.59186
19.134,-57.950,-66.001,←,0.0200,0.00235,4.58951
20.021,-57.977,-65.371,←,0.0200,0.00227,4.58724
21.000,-57.995,-65.722,←,0.0200,0.00222,4.58502
21.871,-57.997,-65.944,←,0.0200,0.00221,4.58281
22.751,-57.981,-65.556,←,0.0200,0.00226,4.58055
23.846,-58.058,-65.536,←,0.0200,0.00203,4.57853
24.827,-58.068,-66.095,←,0.0200,0.00000,4.57853
25.716,-58.009,-65.789,←,0.0200,0.00217,4.57636
26.780,-58.114,-65.797,←,0.0200,0.00000,4.57636
27.674,-58.037,-65.969,←,0.0200,0.00209,4.57427
28.766,-58.112,-65.901,←,0.0200,0.00000,4.57427
29.755,-58.155,-65.972,←,0.0200,0.00000,4.57427
30.628,-58.082,-65.487,←,0.0200,0.00000,4.57427
31.612,-58.115,-65.672,←,0.0200,0.00000,4.57427
32.684,-58.078,-65.432,←,0.0200,0.00000,4.57427
33.691,-58.083,-65.336,←,0.0200,0.00000,4.57427
34.669,-58.112,-65.519,←,0.0200,0.00000,4.57427
35.827,-57.943,-65.519,←,0.0200,0.00237,4.57190
36.865,-58.152,-65.665,←,0.0200,0.00000,4.57190
37.845,-58.020,-65.634,←,0.0200,0.00214,4.56976
38.719,-58.072,-65.653,←,0.0200,0.00000,4.56976
39.704,-58.097,-65.435,←,0.0200,0.00000,4.56976
40.779,-58.021,-65.551,←,0.0200,0.00214,4.56762
41.786,-57.978,-65.406,←,0.0200,0.00227,4.56535
42.769,-58.075,-65.512,←,0.0200,0.00000,4.56535
43.640,-58.034,-65.880,←,0.0200,0.00210,4.56325
44.506,-58.070,-65.606,←,0.0200,0.00000,4.56325
45.397,-58.116,-65.950,←,0.0200,0.00000,4.56325
46.480,-58.096,-65.871,←,0.0200,0.00000,4.56325
47.586,-58.067,-65.899,←,0.0200,0.00200,4.56125
48.460,-58.152,-65.457,←,0.0200,0.00000,4.56125
49.663,-58.064,-66.024,←,0.0200,0.00201,4.55924
50.755,-58.122,-65.302,←,0.0200,0.00000,4.55924
51.737,-58.125,-65.701,←,0.0200,0.00000,4.55924
52.835,-58.062,-65.712,←,0.0200,0.00201,4.55723
53.700,-58.119,-65.996,←,0.0200,0.00000,4.55723
54.585,-58.134,-65.326,←,0.0200,0.00000,4.55723
55.449,-58.056,-65.223,←,0.0200,0.00203,4.55520
56.440,-58.088,-65.785,←,0.0200,0.00000,4.55520
57.639,-58.158,-65.276,←,0.0200,0.00000,4.55520
58.728,-58.033,-65.848,←,0.0200,0.00210,4.55310
59.824,-58.096,-65.859,←,0.0200,0.00000,4.55310
60.699,-58.115,-65.889,←,0.0200,0.00000,4.55310
61.817,-58.041,-65.585,←,0.0200,0.00208,4.55102
62.779,-58.075,-65.817,←,0.0200,0.00000,4.55102
63.885,-58.096,-65.332,←,0.0200,0.00000,4.55102
64.745,-58.102,-65.464,←,0.0200,0.00000,4.55102
65.731,-58.079,-65.136,←,0.0200,0.00000,4.55102
66.834,-58.074,-65.304,←,0.0200,0.00000,4.55102
67.918,-58.048,-65.981,←,0.0200,0.00206,4.54896
68.908,-58.115,-65.728,←,0.0200,0.00000,4.54896
70.007,-58.140,-65.636,←,0.0200,0.00000,4.54896
70.983,-58.027,-65.173,←,0.0200,0.00212,4.54684
71.873,-58.065,-65.338,←,0.0200,0.00201,4.54484
73.006,-58.113,-65.673,←,0.0200,0.00000,4.54484
74.045,-58.102,-66.010,←,0.0200,0.00000,4.54484
74.926,-58.177,-66.019,←,0.0200,0.00000,4.54484
75.972,-58.106,-65.259,←,0.0200,0.00000,4.54484
76.994,-58.015,-65.371,←,0.0200,0.00215,4.54268
77.990,-58.159,-65.924,←,0.0200,0.00000,4.54268
79.092,-58.108,-65.515,←,0.0200,0.00000,4.54268
80.174,-58.010,-65.143,←,0.0200,0.00217,4.54051
81.158,-58.121,-65.353,←,0.0200,0.00000,4.54051
82.143,-58.126,-65.933,←,0.0200,0.00000,4.54051
83.127,-58.105,-65.515,←,0.0200,0.00000,4.54051
84.264,-58.158,-65.606,←,0.0200,0.00000,4.54051
85.315,-58.041,-65.748,←,0.0200,0.00208,4.53844
86.305,-58.058,-65.611,←,0.0200,0.00203,4.53641
87.290,-58.065,-65.938,←,0.0200,0.00200,4.53440
88.282,-58.154,-65.339,←,0.0200,0.00000,4.53440
89.255,-58.122,-65.862,←,0.0200,0.00000,4.53440
90.136,-58.084,-65.341,←,0.0200,0.00000,4.53440
91.010,-58.147,-65.597,←,0.0200,0.00000,4.53440
92.265,-58.147,-65.775,←,0.0200,0.00000,4.53440
93.198,-58.152,-65.869,←,0.0200,0.00000,4.53440
94.172,-58.128,-65.903,←,0.0200,0.00000,4.53440
95.059,-58.097,-65.645,←,0.0200,0.00000,4.53440
96.047,-58.057,-65.393,←,0.0200,0.00203,4.53238
97.074,-58.083,-65.790,←,0.0200,0.00000,4.53238
98.338,-58.050,-65.343,←,0.0200,0.00205,4.53033
99.430,-58.131,-65.736,←,0.0200,0.00000,4.53033
100.310,-58.130,-65.547,←,0.0200,0.00000,4.53033
101.302,-58.137,-65.282,←,0.0200,0.00000,4.53033
102.170,-58.103,-65.386,←,0.0200,0.00000,4.53033
103.199,-58.038,-65.366,←,0.0200,0.00209,4.52824
104.360,-58.134,-66.022,←,0.0200,0.00000,4.52824
105.339,-58.114,-65.993,←,0.0200,0.00000,4.52824
106.224,-58.133,-65.499,←,0.0200,0.00000,4.52824
107.403,-58.115,-65.979,←,0.0200,0.00000,4.52824
108.640,-58.057,-65.480,←,0.0200,0.00203,4.52621
109.701,-58.093,-65.855,←,0.0200,0.00000,4.52621
110.873,-58.065,-65.987,←,0.0200,0.00200,4.52421
112.014,-58.056,-65.739,←,0.0200,0.00203,4.52218
112.982,-58.192,-65.596,←,0.0200,0.00000,4.52218
114.077,-58.146,-65.523,←,0.0200,0.00000,4.52218
115.057,-58.060,-66.012,←,0.0200,0.00202,4.52016
116.265,-58.093,-65.772,←,0.0200,0.00000,4.52016
117.143,-58.145,-65.568,←,0.0200,0.00000,4.52016
118.019,-58.118,-65.906,←,0.0200,0.00000,4.52016
119.227,-58.097,-65.290,←,0.0200,0.00000,4.52016
120.198,-58.102,-65.470,←,0.0200,0.00000,4.52016
121.084,-58.109,-65.562,←,0.0200,0.00000,4.52016
122.189,-58.055,-65.509,←,0.0200,0.00203,4.51813
123.259,-58.149,-65.528,←,0.0200,0.00000,4.51813
124.309,-58.120,-65.488,←,0.0200,0.00000,4.51813
125.548,-58.169,-65.991,←,0.0200,0.00000,4.51813
126.656,-58.118,-65.548,←,0.0200,0.00000,4.51813
127.640,-58.111,-66.174,←,0.0200,0.00000,4.51813
128.510,-57.958,-66.054,←,0.0200,0.00232,4.51580
129.606,-58.121,-65.445,←,0.0200,0.00000,4.51580
130.737,-58.058,-65.703,←,0.0200,0.00203,4.51377
131.689,-58.235,-65.753,←,0.0200,0.00000,4.51377
132.699,-58.051,-65.588,←,0.0200,0.00205,4.51173
133.770,-58.106,-66.006,←,0.0200,0.00000,4.51173
134.645,-58.135,-65.550,←,0.0200,0.00000,4.51173
135.684,-58.078,-65.458,←,0.0200,0.00000,4.51173
136.826,-58.130,-65.504,←,0.0200,0.00000,4.51173
137.703,-58.112,-66.062,←,0.0200,0.00000,4.51173
138.567,-58.074,-65.938,←,0.0200,0.00000,4.51173
139.455,-58.129,-65.986,←,0.0200,0.00000,4.51173
140.581,-58.028,-65.807,←,0.0200,0.00212,4.50961
141.423,-58.082,-65.488,←,0.0200,0.00000,4.50961
142.293,-58.142,-66.016,←,0.0200,0.00000,4.50961
143.349,-58.180,-65.387,←,0.0200,0.00000,4.50961
144.484,-58.075,-66.008,←,0.0200,0.00000,4.50961
145.582,-58.144,-65.428,←,0.0200,0.00000,4.50961
146.452,-58.087,-66.017,←,0.0200,0.00000,4.50961
147.440,-58.027,-65.571,←,0.0200,0.00212,4.50749
148.680,-58.072,-65.361,←,0.0200,0.00000,4.50749
149.624,-58.082,-65.448,←,0.0200,0.00000,4.50749
150.606,-58.051,-66.075,←,0.0200,0.00205,4.50544
151.478,-58.110,-65.394,←,0.0200,0.00000,4.50544
152.664,-58.161,-65.371,←,0.0200,0.00000,4.50544
153.690,-58.095,-66.091,←,0.0200,0.00000,4.50544
154.810,-58.103,-65.833,←,0.0200,0.00000,4.50544
155.861,-58.104,-66.074,←,0.0200,0.00000,4.50544
156.873,-58.028,-65.520,←,0.0200,0.00212,4.50333
157.822,-58.115,-65.530,←,0.0200,0.00000,4.50333
158.804,-58.012,-65.649,←,0.0200,0.00216,4.50116
159.902,-58.097,-66.137,←,0.0200,0.00000,4.50116
161.106,-58.133,-65.541,←,0.0200,0.00000,4.50116
162.275,-58.037,-65.351,←,0.0200,0.00209,4.49907
163.631,-58.098,-65.411,←,0.0200,0.00000,4.49907
164.613,-58.067,-65.565,←,0.0200,0.00000,4.49907
165.478,-58.087,-65.510,←,0.0200,0.00000,4.49907
166.474,-58.157,-66.030,←,0.0200,0.00000,4.49907
167.458,-58.061,-65.281,←,0.0200,0.00202,4.49706
168.745,-58.158,-65.427,←,0.0200,0.00000,4.49706
170.076,-58.126,-66.039,←,0.0200,0.00000,4.49706
171.057,-58.103,-65.929,←,0.0200,0.00000,4.49706
172.268,-58.127,-65.931,←,0.0200,0.00000,4.49706
173.143,-58.211,-65.894,←,0.0200,0.00000,4.49706
174.360,-58.148,-65.950,←,0.0200,0.00000,4.49706
175.400,-58.043,-65.691,←,0.0200,0.00207,4.49499
176.531,-58.146,-65.569,←,0.0200,0.00000,4.49499
177.514,-58.116,-65.765,←,0.0200,0.00000,4.49499
178.505,-58.201,-65.753,←,0.0200,0.00000,4.49499
179.687,-58.167,-65.500,←,0.0200,0.00000,4.49499
180.766,-58.075,-65.580,←,0.0200,0.00000,4.49499
181.980,-58.125,-65.444,←,0.0200,0.00000,4.49499
183.217,-58.187,-65.857,←,0.0200,0.00000,4.49499
184.083,-58.086,-65.538,←,0.0200,0.00000,4.49499
185.338,-58.063,-65.742,←,0.0200,0.00201,4.49298
186.267,-58.085,-65.779,←,0.0200,0.00000,4.49298
187.356,-58.112,-65.438,←,0.0200,0.00000,4.49298
188.244,-58.074,-66.006,←,0.0200,0.00000,4.49298
189.324,-58.137,-65.195,←,0.0200,0.00000,4.49298
190.317,-58.091,-65.430,←,0.0200,0.00000,4.49298
191.432,-58.075,-65.325,←,0.0200,0.00000,4.49298
192.502,-58.125,-65.727,←,0.0200,0.00000,4.49298
193.707,-58.053,-65.355,←,0.0200,0.00204,4.49094
194.775,-58.154,-65.349,←,0.0200,0.00000,4.49094
195.872,-58.073,-65.850,←,0.0200,0.00000,4.49094
196.763,-58.067,-65.877,←,0.0200,0.00000,4.49094
197.644,-58.193,-65.386,←,0.0200,0.00000,4.49094
198.522,-58.162,-65.301,←,0.0200,0.00000,4.49094
199.388,-58.114,-65.586,←,0.0200,0.00000,4.49094
200.261,-58.105,-65.382,←,0.0200,0.00000,4.49094
201.368,-57.992,-65.721,←,0.0200,0.00222,4.48871
202.234,-58.027,-65.155,←,0.0200,0.00212,4.48659
203.220,-58.123,-65.607,←,0.0200,0.00000,4.48659
204.208,-58.148,-65.738,←,0.0200,0.00000,4.48659
205.383,-58.079,-65.577,←,0.0200,0.00000,4.48659
