offset_V,s1_dbm,s2_dbm
-6,-38.2037,-92.8231
-5.9,-38.2125,-88.2859
-5.8,-38.2683,-87.2666
-5.7,-38.3236,-83.5975
-5.6,-38.4258,-79.4171
-5.5,-38.5354,-78.1479
-5.4,-38.6723,-75.7377
-5.3,-38.8524,-73.4941
-5.2,-39.0582,-71.1386
-5.1,-39.2875,-71.8368
-5,-39.5682,-69.995
-4.9,-39.9014,-69.1578
-4.8,-40.2534,-68.3732
-4.7,-40.6452,-67.4628
-4.6,-41.0888,-66.7535
-4.5,-41.5968,-66.6371
-4.4,-42.1595,-66.0254
-4.3,-42.779,-66.1518
-4.2,-43.5192,-65.8979
-4.1,-44.316,-64.658
-4,-45.2641,-64.5756
-3.9,-46.3343,-64.9705
-3.8,-47.6066,-64.5848
-3.7,-49.1035,-64.3604
-3.6,-50.9532,-64.428
-3.5,-53.3382,-64.3326
-3.4,-56.7795,-63.8138
-3.3,-62.4399,-64.1349
-3.2,-85.3462,-64.2074
-3.1,-63.8494,-64.3198
-3,-57.4152,-63.7997
-2.9,-53.7286,-64.047
-2.8,-51.239,-64.351
-2.7,-49.2721,-64.4246
-2.6,-47.7356,-64.59
-2.5,-46.4302,-64.6004
-2.4,-45.3211,-65.0412
-2.3,-44.3603,-65.0171
-2.2,-43.5501,-65.6165
-2.1,-42.8266,-66.0644
-2,-42.1564,-66.3097
-1.9,-41.5712,-66.5343
-1.8,-41.0511,-66.5561
-1.7,-40.6036,-67.5564
-1.6,-40.1869,-68.458
-1.5,-39.8145,-69.2874
-1.4,-39.4934,-71.043
-1.3,-39.2079,-70.7936
-1.2,-38.9552,-72.0019
-1.1,-38.7391,-72.7869
-1,-38.5834,-75.052
-0.9,-38.4333,-79.7152
-0.8,-38.3277,-80.1459
-0.7,-38.2475,-82.6922
-0.6,-38.1992,-91.6641
-0.5,-38.1867,-88.2032
-0.4,-38.1998,-88.0862
-0.3,-38.2453,-81.4234
-0.2,-38.3247,-76.8678
-0.1,-38.4299,-76.7332
0,-38.5614,-74.7916
0.1,-38.7334,-72.8671
0.2,-38.9378,-70.5846
0.3,-39.1772,-70.8175
0.4,-39.4541,-70.2946
0.5,-39.7593,-68.7669
0.6,-40.1367,-67.6836
0.7,-40.5387,-67.1035
0.8,-41.0093,-66.78
0.9,-41.5281,-66.5276
1,-42.1281,-66.5815
1.1,-42.7779,-65.8312
1.2,-43.5306,-65.9126
1.3,-44.3884,-65.3161
1.4,-45.3713,-64.7433
1.5,-46.5079,-64.5833
1.6,-47.881,-64.2977
1.7,-49.5153,-64.7249
1.8,-51.5484,-64.5292
1.9,-54.2456,-63.8571
2,-58.3801,-63.9174
2.1,-66.2676,-64.1306
2.2,-72.6144,-63.9341
2.3,-60.2613,-64.1846
2.4,-55.4221,-63.836
2.5,-52.3513,-64.3867
2.6,-50.1422,-64.1861
2.7,-48.3991,-64.2254
2.8,-46.9586,-64.7367
2.9,-45.7185,-65.2637
3,-44.697,-65.5458
3.1,-43.7933,-65.2868
3.2,-43.0181,-65.5885
3.3,-42.3127,-66.3046
3.4,-41.7227,-66.3033
3.5,-41.156,-67.2227
3.6,-40.6766,-68.0646
3.7,-40.2478,-67.5772
3.8,-39.8589,-68.0782
3.9,-39.5289,-69.4371
4,-39.2323,-69.3497
4.1,-38.9835,-70.6171
4.2,-38.7577,-71.1151
4.3,-38.5767,-72.8917
4.4,-38.439,-73.5393
4.5,-38.3194,-75.8573
4.6,-38.2379,-81.0817
4.7,-38.1893,-83.3862
4.8,-38.1812,-84.4137
4.9,-38.2075,-91.2721
5,-38.2403,-83.0336
5.1,-38.3174,-80.5141
5.2,-38.433,-76.9554
5.3,-38.5847,-74.495
5.4,-38.7634,-73.8868
5.5,-38.9765,-72.182
5.6,-39.2178,-71.8219
5.7,-39.515,-69.572
5.8,-39.8392,-69.9552
5.9,-40.2343,-69.2847
6,-40.6457,-67.9389
